a few;کمی
regarding the fact that;مبنی بر این که
regarding this issue;در این زمینه
regardless;صرفنظر از
regeneration;ترمیم ، تولید مجدد
regenerator;بوجود آورنده ، باززاد
regent;نایب السلطنه ، نایبالسطنه ، عضو شورا ، نماینده پادشاه
regicide;شاه کش
regime;رژیم
regiment;هنگ
regimental;لباس افسری ، لباس هنگ
regimentals;ملبوس هنگی
regiments;افواج
region;بلد ، اقلیم ، منطقه ، مناطق ، افق ، بوم
regional;منطقهای ، اقلیمی ، بلوکی
regional address;نشانی منطقه ای
regionalism;منطقه سازی
regionalist;ناحیه گرای
regionalistic;ناحیه گرای
regions;اکناف ، نواحی
register;نام نویسی کردن ، ثبت کردن ، به ثبت رساندن ، در دفتر وارد کردن
registeration;ثبت
registered;ثبت شده ، ثبتی
registered mail;پست سفارشی ، دوقبضه ، نامه سفارشی
registrable;قابل ثبت
registrar;ثبت کننده ، مدیر دروس ، ثبت کننده
registration;نامنویسی ، ثبت نام ، اسم نویسی ، نام نویسی
registration fee;حقالثبت
regnant;سلطنت کننده
regnum;قلمرو سلطنتی
regress;عودت کردن ، پس رفت کردن
regression;عقب روی ، بسرفت
regressive;عود کننده ، برگشت کننده ، پسرفت کن
regret;اسف ، دریغ ، حسرت ، ندامت ، اسف خوردن ، افسوس خوردن ، افسوس ، تاسف ، پشیمان شدن ، حسرت بردن ، پشیمانی
regretful;متاسف ، اسف آور ، متلهف ، نادم ، متار ، اسف آور ، پر تاسف ، اسفناک ، پشیمان ، اسف انگیز
regretfully;مع التاسف ، معاللتسلف
regrettable;قابل تاسف ، تاسف آور
regular;منتظم ، باقاعده
regularity;باقاعدگی
regularly;منظما
regulate;نظم دادن
regulater;قاعده گذاشتن
regulation;تنظیم ، مقرره
regulations;نظامات ، قوانین ، ومقررات ، نظام نامه
regulative;تنظیمی
regulator;ناظم
regulatory;تنظیمی
regulus;فلز ناخالص
regurgitation;برگشت خون
rehabilitant;نوتوان
rehabilitate;سالم کردن ، اعاده کردن ، توانبخشی کردن ، اعاده حیثیت کردن
rehabilitation;نوتوانی ، توانبخشی ، توان بخشی
rehearsal;تمرین ، تمرین نمایش
rehearse;تمرین کردن
rehearser;تمرین کننده
reiforced concrete;بتن آرمه
reimbursable;قابل پرداخت
reimbursement;باز پرداخت
rein;عنان کردن ، زمام ، لجام ، لجام زدن ، عنان
reinfection;عفونت مجدد
reinforce;تجدید نیرو کردن
reinforced concrete;بتن آرمه ، بتن مسلح
reinforcement;تجدید قوا ، تقویت
reins;لگام
reinstate;دوباره بکار انداختن ، دوباره برقرار کردن
reinstatement;ابقاء
reinsurance;بیمه مجدد
reinsure;دوباره بیمه کردن
reintegration;استقرار مجدد
reinterpret;دوباره تفسیر کردن
reinvigorate;باز نیرو بخشیدن
reiterate;بازگو کردن
reject;وازدن ، مطرود کردن ، رد کردن ، نپسندیدن ، طرد کردن ، دور انداختن ، تناسخ کردن
rejectable;رد کردنی
rejected;وازده ، واخورده ، مطرود
rejection;امتناع ، وازدگی ، نکول ، رد ، عدم پذیرش ، پشت پا
rejoice;خوشحالی کردن ، خوشی کردن ، شادی کردن ، شادمانی کردن ، وجد کردن
rejoicing;شادی
rejoin;پاسخ دفاعی دادن
rejoinder;پاسخ دفاعی
rejuvenate;دوباره جوان کردن ، جوان کردن
rejuvenator;جوانی دهنده
rejuvenescence;نوگشتگی
relapse;عود ، نکس ، نکس کردن
relatable;نقل کردنی
relate;باز گو کردن ، روایت کردن ، منسوب داشتن ، ربط داشتن ، منتسب کردن ، منسوب کردن
related;مربوط ، مقارن ، منتسب ، وابسته
related news;اخبار مرتبط
related to;مربوط به
relater;بازگو گر ، نقل کننده
relation;انتساب ، مناسبت ، نسبت ، ارتباط ، بستگی ، ربط ، رابطه
relational;رابطهای
relations;روابط
relationship;وابستگی ، خویشی ، خویشاوندی ، صلح
relative;نسبی ، منسوب ، خویش ، خویشاوند ، منسوب ، ربطی
relatively;نسبتا ، نسبتا
relatives;قوم و خیش ، بستگان ، نزدیکان ، عترت ، اقارب
relativity;فرضیه نسبی ، نسبی بودن ، فلسفه نسبیه
relator;بازگوگر
relax;وادادن ، تمدد اعصاب کردن ، آسودن ، سست کردن ، وا رفتن ، سست شدن
relaxation;وارفتگی ، سست سازی ، استراحت ، تمدد اعصاب
relaxed;بی عجله ، آسوده حال
relay;روله ، باز پخش کردن ، رله
releasable;رهاشدنی
release;آزاد کردن ، مرخص کردن ، رهاسازی ، مرخص شدن ، خلاصی ، ترخیص ، ترخیص کردن ، آزادی ، اطلاق ، رها کردن ، رهاساختن ، رفع توقیف کردن از ، رهانیدن ، انتشار ، رها ساختن
released;مستخلص
releasing;آزآد کننده
relent;نرم شدن ، رحم بدل آوردن
relentless;بی امان ، بی مروت ، لا مروت
reletives;اقربا
relevance;ربط
relevant;متناسب ، مربوط
relevant with;متناسب با
relfexibility;قابلیت انعکاس
reliability;اعتبار
reliable;حسابی ، معتبر ، موثق ، اعتمادی
reliable source;منبع موثق ، منبع موثقه
reliance;اعتماد ، توکل ، اتکاء ، اتکا ، تکیه
reliberate;دوباره مستخلص کردن
relic;آثار مقدس
relict;زن بیوه
relieble;معتمد
relied upon for help;معول
relief;امدادی ، تسکین ، خلاصی ، اعانه
relief funds;وجوه اعانه
relief map;نقشه برجسته
relieve;تغییر پست دادن ، کارگشایی کردن ، آسوده شدن ، آسوده کردن ، راحت کردن ، فرو نشاندن
relieve oneself;قضای حاجت کردن
relieved;راحت شدن
religion;مذهب ، مهب ، دین ، کیش
religions;ادیان ، مذاهب ، شرایع
religiosity;مجلس مذهبی ، دینداری ، مجلس عبادت
religious;دین دار ، دیندار ، دینی ، شرعی ، متشرع ، با تدین ، مجتهد ، متدین ، مذهبی ، مهبی ، خشک مقدس
religious authorities;علما
religious center;حسینه ، حسینیه
religious ceremony;مراسمدینی
religious expert;شریعتمدار ، فقیه ، فقیه
religious jurisprudence;فقه
religious law;شریعت ، شرع
religious leadership;مرجعت
religious percepts;احکام دینی
religious source of immitation;مرجع تقلید
religious statement;فتوا
religious war;غزوه
religious way;طریقت
religiously unlawful;خلاف شرع
religiousness;مذهبی بودن ، تدین
reline;آستر نو انداختن
relinquish;چشم پوشی ، چشم پوشی شدن
reliquary;محفظه عتیقه
reliquiae;مرده ریگ
relish;رغبت ، مزه آوردن ، با رغبت خوردن
relocatable;جابجا پذیر
relucent;خیره کننده ، نور افشان
reluctance;بی میلی ، بی رغبتی ، رغم ، بیمیلی ، مقاومت مغناطیسی ، اکراه
reluctancy;مقاومت مغناطیسی
reluctant;بیرغبت ، بی تمایل ، بیمیل ، بی میل
reluctantly;بالاکراه
rely;متکی بودن ، اتکا کردن ، متوسل شدن ، استناد کردن ، متکی شدن
rely on;اتکاء داشتن ، توکل داشتن
relying;متکی ، استناد ، اتکا ، متکی
remain;برجا ماندن ، باقی ماندن ، بر جا ماندن
remain constant;ثابت ماندن
remain hanging;آویزان ماندن
remain hidden;مخفی ماندن
remain loyal;وفاداری کردن
remain silent;دم فرو بستن
remain unaware of;غافل شدن
remainder;مابقی ، الباقی ، باقیمانده ، باقی مانده ، باقی کار ، مانده
remaining;باقی مانده ، مابقی ، ماندنی ، مانده ، بازمانده ، مابقی
remains;بقایا ، آثار
reman;مردانگی کردن
remark;سگال ، عرض ، ملاحظه
remarkable;جالب توجه
remarriage;ازدواج مجدد ، تجدید فراش
remarry;تجدید فراش کردن
rematch;مسابقه برگشت
remediable;علاج پذیر ، درمان پذیر ، گزیر پذیر ، قابل علاج ، چاره پذیر ، علاج بخش
remedial;علاجی ، شفابخش ، چاره ساز ، گزیری
remedy;شفا ، درمان ، علاج ، چاره کردن ، گزیر ، چاره
remember;به ذهن سپردن ، در مغز جاگیر کردن ، یاد آوردن ، به خاطر سپردن ، جاخالی دادن ، یاد کردن ، بخاطر آوردن ، بجا آوردن ، بخاطر داشتن
rememberable;یادآوردنی
remembering;ذکر
remembrance;یادگار ، یادآوری ، یادبود
remex;شهپر ، شاه پر ، ساقه پر
remind;گوشزد کردن ، متوجه ساختن ، یادآوری کردن ، تذکر دادن ، متوجه کردن
reminder;یادآور ، تذکاریه ، تذکر
remindful;پرخاطره
reminding;یادآوری ، تذکار ، یادآور
reminiscence;خاطره ، یاد بود
reminiscent;یاد بود ، یادآور
remise;گذشت کردن
remiss;غفلت کار
remission;بهبودی بیماری
remittable;قابل پرداخت
remittance of money;ارسال وجه
remittent;سبک شونده
remittent fever;تب دائم غلت ، دائم غلط
remnant;بقیه السیف
remonetize;دوباره رایج کردن
remorse;پشیمانی ، افسوس
remorseful;نادم
remote;دورافتاده ، دوردست
remoteness;دوری
remount;دوباره بالا رفتن ، دوباره سوار کردن
removable;بردنی ، برداشتنی
removal;عزل ، برکناری ، فک ، ازاله
remove;برطرف کردن ، ازاله نمودن ، بر چیدن ، برچیده کردن ، زائل کردن ، معزول کردن ، حذف کردن ، برکنار کردن ، ازاله کردن
remove clothes;رخت کندن
removed;برطرف ، مخلوع
remover;برطرف کننده
removing a nuisance;رفع مزاحمت
remunerate;سزا دادن
remunerative;پاداشی
renaissance;رنسانس
renascence;زندگی مجدد
render;تسلیم داشتن
rendering;معجز
rendezvous;میعاد ، وعدهگاه ، میعادگاه ، آمدگاه
rending;هتک
rene blaker;رنه بلیکر
renegade;یاغی ، یاغی
renegotiation;مذاکره مجدد
renew;تجدید کردن ، بازنو کردن ، تجدید شدن ، تازه کردن ، نو کردن
renewability;قابلیت تجدید
renewal;تجدید ، بازنوکنی
renewed;مجدد
rennet;مایه ماست ، شیر مایه ، شیردان
rennin;پنیر مایه
renovation;تجدید ، نوسازی
renovator;نوساز ، نوساز
renown;نامآوری
rent;اجاره ، کرایه ، اجاره کردن ، مال الاجاره ، اجاره رفتن ، اجاره خانه ، اجاره دادن ، اجاره بها
rental;اجارهای ، کرایه ، اجاره بهاء ، وجه اجاره
rental agreement;اجاره نامه
rental tax;مالیات بر مستعلات
renter;اجاره دهنده ، اجاره نشین ، بکرایه واگذارنده
rentier;بکرایه واگذارنده
renting;اجاره دهی ، استیجار ، استجاره
renunciation;قطع علاقه
reopen;بازگشایی کردن
reorder;دوباره سفارش دادن
reorganize;تجدید سازمان کردن ، تغییرات سازمانی دادن
rep;زن هرزه ، مرد هرزه
repair;ترمیم ، مرمت کردن ، تعمیر کردن ، مرمت ، ترمیم کردن ، تعمیر
repair requiring;تعمیری
repair shop;تعمیرگاه
repairable;قابل جبران
repaired;تعمیرشده
repairman;تعمیرکار ، تعمیرکار
repairs;دستکاری کردن
reparable;قابل جبران
reparation;جبران غرامت ، غرامت
reparative;ترمیمی
repass;مجددا تصویب کردن
repast;وقت غذاخوری
repay;باز پرداختن
repayment;غرامت ، پرداخت مجدد ، بازپرداخت
repealer;لغو کننده
repeat;باز انجام ، واگفتن ، مکرر کردن ، باز گفتن ، واگو کردن ، بازگو کردن ، تکرار کردن
repeatability;تکرار پذیری ، قابلیت تکرار
repeatable;تکرار پذیر ، قابل تکرار
repeated;مکرر ، پی در پی ، پی درپی ، پی در پی ، مجدد
repeatedly;علیالتوالی ، مکرراً ، مکررا ، مجددا ، کراراً ، کرار
repeating;ازسر گیرنده
repel;دفع کردن
repell;دفع کردن
repellent;دافع ، دافع ، دافعه
repeller;پس زننده
repelling;دفع ، پس زنی
repent;توبه کردن ، اصلاح شدن
repentance;توبه
repentant;تائب ، انابت ، منیب
repenter;توبه کار
repercussion;عکس العمل
repetition;بازگو ، تکرار ، تکریر
repetitions;مکررات
repetitious;تکراری
repetitive;تکراری
repine;ناراضی بودن
repitition;تجدید
replace;جانشین کردن ، تعویض کردن ، جایگزین شدن ، جایگزین ساختن ، جابجا سازی
replaceable;قابل تعویض
replacement;جابجائی ، جا بجا ، جایگزینی ، تعویض
replenish;ذخیره تازه دادن ، باز پر کردن
replete;کاملا پر
replier;پاسخ دهنده ، پاسخ دهنده
reply;پاسخ برگشتی ، جوابی ، جواب ، پاسخ
report;گزارش دادن ، گزارش کردن ، معرفی کردن ، خبر ، راپرت ، گزارش ، نوشتنی ، خبر دادن
report card;کارنامه
report generator;مولد گزارش
reportable;گزارش دادنی
reportage;رپرتاژ ، تولید گزارش
reporter;خبرنگار ، گزارشگر
reporting;گزارشگری ، اطلاع رسانی ، خبرنگاری ، رپورتاژ
reportorial;گزارشی
reports;مسموعات
repose;دراز کشیدن
reposit;ودیعه گذاردن
repository;صندوق تابوت
repossess;مالکیت مجدد یافتن
repossession;تملک مجدد
reprehend;توبیخ کردن
reprehensible;سرزنش کردنی ، سزاوار سرزنش ، ناستوده
reprehensive;ملامت آمیز
represent;در برگیرنده بودن ، در بر گرفتن ، نیابت کردن ، نماینده بودن ، نمایندگی کردن ، دربر گرفتن
representable;قابل عرضه
representation;نیابت
representative;نماینده ، حالیکننده ، هیات نمایندگی
representatives;هیاتهای نمایندگی
representer;معرفی کننده
repress;باز کوفتن ، باز فشردن
repressed;جلوگیری شده
repression;سرکوبی
repressive;سرکوب کننده ، مانع شونده
reprimand;توبیخ کردن ، توبیخ
reprimanding;توبیخ آمیز ، بازخواست
reprint;چاپ جدید
reprisal;جبران
repristinate;دوباره بکر کردن
reproach;خار کردن ، ممت ، مذمت کردن ، سرزنش کردن ، سرکوفت ، ملامت ، توبیخ ، مذمت ، لوم
reproachable;قابل توبیخ
reproacher;گله مند ، ملامت کننده
reproachful;پرسرزنش ، ملامت آمیز ، نکوهشی
reproachful talk;عتاب و خطاب
reprobation;فساد اخلاق
reproduce;تناسل کردن ، تولید مثل کردن ، تکثیر کردن ، زاد و ولد کردن ، باز عمل آوردن
reproducibility;قابلیت تکثیر
reproduction;توالد و تناسل ، تناسل ، تولید مثل ، همآوری ، توالد ، تکثیر
reproductive;تناسلی
reproductivity;استعداد تولید
reproof;عتاب
reps;ربس
reptant;کشاله کش
reptile;خزنده ، خزنده
reptiles;خزندگان
reptilian;خزنده ، خزنده
republic;جمهوری ، جمهوریت
republic of azerbaijan;جمهوری آذربایجان
republic of russia;جمهوری روسیه
republican;جمهوریخواه ، جمهوری خواه ، جمهوری خواه
republican;جمهوریخواه
republican party;حزب جمهوری خواه
republican party;حزب جمهوریخواه
republicanism;جمهوریت ، جمهوریخواهی
republicanize;جمهوری کردن
republication;انتشار مجدد
republics;جماهیر
republish;دوباره چاپ کردن ، دوباره منتشر کردن
repudiation;ردی
repugant;تنفر آور
repulsion;عدم پذیرش ، عقب زنی ، وازنش
repulsive;تنفر آور ، متنفر کننده ، زننده ، تنفر آمیز
repulsiveness;زنندگی
repurchase;باز خریدن ، بازخرید
reputability;قابلیت اشتهار ، نیکنامی
reputable;قابل شهرت ، نیکنام ، خوشنام ، قابل اطمینان
reputation;عرض ، شهرت ، آوازه ، آبرو ، اشتهار ، اسم و رسم ، خوشنامی
repute;آوازه داشتن
request;ملتمس ، اجازه خواستن ، مسئلت کردن ، تمنا ، استدعا کردن ، تقاضا نمودن ، درخواست ، درخواست کردن ، مسئلت ، تقاضا ، استدعا ، طلب ، خواهش کردن ، رو انداختن ، تقاضا کردن
requestable;قابل درخواست دادن
requested;طلبیده
requester;خواستار ، خواهش کننده
requesting;التماس
requesting a delay;استمهال
requests;مستدعیات
requiem;نماز وحشت ، نماز میت ، فاتحه
requiescat;نماز میت
require;اقتضاء کردن ، حاجت داشتن ، اقتضا کردن ، لازم داشتن ، اقتضاء داشتن ، نیاز داشتن ، لازم دانستن ، ایجاب کردن ، لازم بودن ، طلبیدن ، مستلزمبودن
required;ملزوم ، اجباری
requirement;نیاز ، مقرره
requirment;دربایست
requisite;شرط لازم ، لازمه ، لازمه
requisition;بازگیری ، سخره ، مصادرت
requiter;اجر دهنده ، عوض دهنده
rerun movie;فیلم تکراری
rerward;عوض
resale;فروس مجدد
rescission;اقاله
rescissory;فسخی
rescript;فتوای پاپ
rescue;تخلیص کردن ، دریافتن ، رهانیدن
rescuer;مستخلص کننده ، فریادرسی ، رها دهنده ، رها دهنده ، نجات دهنده ، نجات دهنده
rescuing;نجات ، تخلیص ، فریادرسی
research;تحقیق کردن ، پژوهش ، تجسس ، پژوهشی ، تحقیقی ، تحقیق ، مطالعه ، تتبع
research institute;موسسه پژوهشی
research lab;پژوهش خواه
researcher;پژوهنده ، پژوهشگر ، محقق ، دانش پژوه ، محقق ، اهل تحقیق ، متتبع
researching;پژوهشگر ، متتبع
resectability;قابلیت برش
resectable;قطع کردنی
resemblance;مشابهت ، همشکلی ، مانندگی ، شباهت ، همانندی ، تشابه
resemble;مانند بودن ، شبیه شدن ، شباهت داشتن
resembling flint;چخماقی
resent;اظهار رنجش کردن
resentment;غیض
reserve;ذخیره ، محفوظ کردن ، رزرو کردن ، ذخیره داشتن
reserve fund;سرمایه احتیاطی
reserved;اندوخته ، کم حرف
reserved funds;وجوه احتیاطی
reservedness;خود داری
reservior;تانک
reservoir;مخزن آب ، مخزن ، آب انبار ، آبانبار
reset;باز نشاندن
resetting;بازنشانی
reshape;تغییر شکل دادن ، تجدید وضع کردن
reside;اقامت داشتن ، ساکن شدن ، اقامه کردن ، منزل کردن ، اقامت گزیدن ، مقیم بودن ، اقامت کردن ، مسکن کردن ، ماوا گرفتن ، سکونت گزیدن ، مسکن گرفتن
residence;اقامتگاه ، بودباش ، محل اقامت ، اقامت ، مقر ، مسکن ، حضار ، سکنی ، سکونت
residence permit;اجازه اقامت
residences;مساکن
residency;محل اقامت
residency permit;جواز اقامت
resident;مقیم ، ماندنی ، ساکن
residential;مسکونی ، محلی ، قابل سکنی ، مسکونی
residents;سکنه
residing;متوطن
residuary;موصی له
residue;فضولات ، پسمانده ، فضله
resign;استعفا دادن ، استعفا کردن ، مستعفی شدن ، کنارهگیری کردن ، کناره گرفتن
resignation;استعفا ، کنارهگیری ، کناره گیری
resignation letter;استعفانامه
resigning;مستعفی
resile;مرتجع شدن
resilience;جهندگی
resilient;جهنده ، جهنده
resillient;عدول کننده ، ارتجاعی
resin;راتیانج ، رزین ، صمغ کاج
resinate;صمغ کاج
resinoid;ماده صمغی ، رزینی
resist;مقاومت کردن ، ایستادگی کردن ، استقامت بخرج دادن ، پایداری کردن
resistance;ایستادگی ، استقامت ، گردنکلفتی ، مقاومت ، استحکام
resistant;مقاوم ، مقاوم
resistibility;استعداد مقاومت
resistible;قابل مقاومت
resistive;مقاومتی
resistivity;قابلیت مقاومت ، سته ویژه ، مقاومت اشیا ، مقاومت ویژه
resistor;عنصر مقاوم
resolute;باعزم ، صاحب عزم ، مصمم ، ثابت قدم
resolution;قطعنامه ، نیات ، جزم ، قطع نامه ، حزم
resolve;مقرر داشتن ، اراده کردن ، تحلیل رفتن ، تحلیل بردن ، تحلیل کردن ، حتم کردن
resolver;رافع ، گشاینده
resolving;رفع ، حل و فصل
resonance;ایجاد طنین ، پرطنینی
resonant;طنین دار ، پرطنین
resorb;دوباره جذب کردن
resorption;بلع دوباره ، مکیدن مجدد
resort;متشبث شدن ، توسل جستن ، ملاقات مکرر ، تشبث کردن ، توسل ، متوسل شدن ، تمسک کردن ، توسل کردن ، تمسک جستن
resorting;توسل ، متشبث ، متوسل ، متمسک ، تشبث ، تمسک
resources;ذخایر
respect;کرام نمودن ، محترم شمردن ، کرام ، احترام ، احترام کردن ، احترام قائل شدن ، لحاظ ، احترام قائل بودن ، حرمت گذاردن ، ملاحظه ، گرامی داشتن ، توقیر کردن ، خشوع ، حرمت ، حرمت گذاشتن ، احترام گذاردن ، بزرگداشت ، بزرگ داشتن ، حیث ، احترام گزاشتن ، احترام گذاشتن ، کرام کردن ، حیثیت ، احترام گذارندن ، محترم داشتن
respectability;نیکنامی
respectable;نیکنام ، با حیثیت ، معظم ، قابل احترام ، ذیجاله ، شریف ، آبرودآر ، آبرومند ، ذیشعور
respected;سرافراز ، مورداحترام ، محترمین
respectful;حرمت گذار ، باحرمت ، حرمتی ، احترامی ، پر احترام
respectfully;محترمانه ، محترما ، توقیراً
respecting;توقیر ، مردم داری
respective;مربوطه
respectively;به ترتیب ، بترتیب
respects;شوون
respirable;قابل تنفس
respiration;تنفس
respiratory;تنفسی
respiratory system;دستگاه تنفس
respire;دم زدن
respite;مهلت ، فرجه دادن ، ضرب الاجل
respond;پاسخ دادن
respondent;واکنش دار
responder;پاسخگو ، جوابگو
response;واکنش ، پاسخ برگشتی
responsibility;وظیفه ، عهده داری ، مسئولیت ، مسئولیت ، عهده ، مسوولیت
responsibility for murder;مسوولیت قتل
responsible;مسئولیت داشتن ، متصدی ، عهده دار ، جوابده ، مسئول
responsible authorities;مصادر امور
responsions;آزمون مقدماتی ، مجلس مناظره
responsive;پاسخی ، جوابی
respublica;جمهوری کشور ، کشور جمهوری
rest;راحت کردن ، استراحت ، آسایش کردن ، رفع خستگی کردن ، غنودن ، آسودن ، آرمیدن ، الباقی ، محل استراحت ، آسایش ، استراحت کردن ، باقی ، باقیمانده
rest house;مهمان سرا
rest position;موقعیت سکون
restart;باز آغازیدن ، شروع دوباره
restate;مجددا بیان کردن
restatement;بیان مجدد
restaurant;رستوران ، اغذیه فروشی
restauranteur;صاحب رستوران ، مهمانخانه دار
restaurateur;مهمانخانه دار ، صاحب رستوران
restful;راحتبخش ، پرآسایش ، غنوده
resting spot;استراحتگاه
restitution;جبران ، ارتجاع ، استرداد ، غرامت
restive;کله شق
restless;بی قرار ، خستگی ناپذیر ، بی خواب ، بی آرام
restlessness;بی قراری ، ناصبوری ، بیقرار بودن ، بی آرامی
restorable;قابل اعاده
restoration;آباد سازی ، تجدید ، بازسازی
restoration of prestige;اعاده حیثیت
restorative;اعاده کننده
restore;اعاده کردن ، اعاده دادن ، سالم کردن ، رجعت دادن
restored;مسترد
restorer;اعاده دهنده
restrain;مهار کردن
restrainable;محدود ساختنی
restrainer;مانع شونده ، فشار دهنده
restraint;جلو گیری
restrict;محدودیت قائل شدن ، منحصر کردن
restricted;منحصرا ، منحصر ، در مضیقه
restriction;امساک
restrictionism;سیاست محدودیت
restroom;توالت
result;منتج شدن ، نتیجه ، پیامد ، فرجام ، نتیجه بخشیدن ، آخرین شماره ، ماحصل ، حاصل ، ثمر
result in;منجر شدن
resultant;منتجه ، برآیند ، برآیند
resultful;نتیجه بخش ، پر نتیجه
resulting;منتج ، منجر
resulting from;مترتب ، ناشی از
results;نتایج ، عواقب
resume;از سر گرفتن
resumption;باز یافت ، ادامه
resupination;وارونه بودن
resupine;تاقباز ، بعقب برگشته
resurgence;بازخیز ، طغیان مجدد
resurgent;بازخیزگر ، طغیان کننده
resurrect;زنده کردن ، رستاخیز کردن
resurrection;رستاخیز ، حشر ، قیامت ، نشور ، معاد
resurrectional;رستاخیزی
resurrectionary;رستاخیزی
resuscitate;اجحیا کردن
resuscitator;زنده کننده
retail;خرده فروشی کردن
retail selling;خرده فروشی
retailer;خرده فروش
retailing;خرده فروشی
retaking;پس گیری
retaliate;تقاص کردن ، تقاص گرفتن ، تلافی کردن ، تالوان دادن ، تقاس کشیدن ، تلافی درآوردن
retaliation;عمل متقابل ، تلافی ، تقص
retaliator;تلافی کننده
retaliatory;تلافی کننده
retard;عقب افتاده ، عقب افتاده ، کند ساختن ، عقبانداختن
retardant;عقب انداز
retardate;کند ذهن
retardation;کم هوشی ، شتاب منفی ، عقب افتادگی
retarded;عقبافتاده
retarder;کند ساز
rete;صفحه اسطرلاب
retention;حبس
retentivity;نیروی حفظ
reticent;کم گو ، کم حرف
reticular;مشبک ، شبکهای ، مشبک ، زنبورکی
reticulate;شبکهدار کردن
reticulation;شبکه بندی
retiform;شبکه وار
retinal;شبکیهای
retinoscopy;شبکیه بینی ، معاینه شبکیه
retire;عزلت اختیار کردن ، منزوی شدن ، بازنشسته کردن ، کنار رفتن ، بازنشسته شدن
retired;بازنشسته ، منزوی
retirement;عزلت ، انزوا ، تقاعد ، کنارهگیری ، بازنشستگی
retiring;کناره گیر ، معتکف
retort;جواب متقابل دادن ، جواب متقابل ، تلافی
retouch;دستکاری کردن
retract;تو کشیدن ، در کشیدن ، تو رفتن ، نکول کردن
retractable;جمع شدنی ، انکار پذیر
retractility;قابلیت انقباض
retraction;استغفار ، نکول
retractor;منقبض کننده
retransmission;ارسال مجدد
retreat;عقب نشاندن ، عقب زدن ، عقب نشینی کردن ، گوشه عزلت ، عقب نشینی
retrenchment;مستحکم سازی
retrial;محاکمه مجدد ، آزمایش مجدد
retribution;سزا
retrievable;جبران پذیر ، باز یافتنی
retriever;بازبیاب
retroaction;عطف بگذشته ، عطف بماسبق ، عمل معکوس
retroactivity;عطف بماسبق
retrocede;دوباره واگذار کردن
retrograde;انحطاط دهنده
retrograder;تنزل کننده
retrogress;ترقی معکوس کردن ، بقهقرا رفتن ، پس رفت
retrogressable;پس رفتنی
retrogressedness;پس رفتی
retrogression;پس روی ، ترقی معکوس ، سیر قهقرائی ، ترگی معکوس
retrogressive;پس رو
retrospect;شامل گذشته
retrospection;پس نگری
retrospective;پس نگرانه
retrributive;انتقامی
return;رجعت ، بازگرد ، نکس کردن ، مرجوع کردن ، معاودت ، مسترد کردن ، بازگشت ، برگشتن ، عودت کردن ، باز آمدن ، واپس آمدن ، عودت دادن ، بازگشتن ، عود کردن ، مسترد داشتن ، معاودت کردن ، باز گردیدن ، پس دادن ، برگشت ، باز گرداندن ، مرجوع داشتن ، باز گردانی ، برگشت ، رجعت کردن ، بر گرداندن ، مراجعت کردن ، مراجعت ، بازگردانی ، باز گشت ، اعاده دادن ، نکس ، رجعت دادن ، باز گشتن
return code;رمز بازگشت
return visit;بازدید
returnable;برگرداندنی ، بازگشتنی ، پس دادنی ، برگشت پزیر ، قابل برگشت
returned;مرجوع ، برگشته ، مرجوعه
returnee;مراجعت کننده ، بازگشته
returning;معاود ، راجع ، پس آوری ، رجع ، رجع ، اعاده ، ایاب ، عودت ، راجع ، برگردانی ، عود
returning woman;راجعه ، راجعه
reunion;باز پیوست ، بهم پیوستگی
reunit;ملاقات کردن
reunite;دوباره یکی شدن ، دوباره متحد کردن
reuter;رویتر
reuter news agency;خبرگزاری رویتر
rev;تند گشتن
revaluation;بهاگذاری مجدد
revamp;دوباره رویه انداختن ، نو نما کردن
reveal;افشا شده ، فاش کردن ، آشکار ساختن ، آشکار شدن ، آشکار سازی ، ضاهر ساختن ، ظاهر کردن ، آشکار کردن ، منکشف کردن ، لو دادن ، بازنمود کردن ، بر ملاء کردن ، بروز دادن ، متجلی کردن ، افشاء کردن ، افشاء کردن ، افشا نمودن
reveal secret;افشای سر ، افشاگر سر
revealable;قابل مکاشفه
revealed;منکشف ، مکشوف ، برملا
revealer;آشکار ساز ، آشکار کننده
revealing;آشکار سازی ، افشاء
revel;عیاشی کردن
revelation;فاش سازی ، الهام ، مکاشفه ، الهام الهی
revelator;وحی دهنده ، افشاء کننده
revelatory;مکاشفه آمیز
revelry;عیاشی
revenge;تقاص گرفتن ، تقاس کشیدن ، تقاص کردن ، انتقام کشیدن ، قصاص ، خونخواهی ، انتقام گرفتن ، تقص ، خونخواهی کردن ، انتقام
revengeful;کینه توز ، انتقامجو ، کینه آمیز ، انتقام جویانه
revenger;داد گیر ، انتقام گیرنده
revenue;سود سهام ، عملکرد
revenuer;مامور مالیاتی
revenues;مالیات ، عواید ، عایدات
reverberant;پرانعکاس
reverberate;ولوله انداختن
reverberation;طنین
reverberative;طنین انداز
revere;احترام گذاردن ، احترام گذارندن
reverence;تکریم ، حرمت
reverend;جناب کشیش
reverential;حرمتی ، احترامی
reverently;احتراماً
reverie;خیال واهی ، خیال خام
revers;لبه برگشته
reverse;معکوس کردن ، معکوس ، معکوس ، ظهر
reverse gear;دنده عقب
reversion;برگشتگی بعقب
revert;عود کردن ، رجوع کردن
revet;سنگ چین کردن
revetment;سنگ چینی
review;دوره کردن ، تجدید نظر ، وابین ، سان ، مرور ، مرور کردن
reviewer;منقد ادبی
